invoice_line_id,invoice_id,invoice_date,invoice_type,order_id,product_id,product_description,quantity,uom,unit_price,currency,line_amount,vat_rate,vat_amount,total_amount,invoice_status,invoice_ref,vat_category_code
IL-002,INV-2027-227155,2027-02-18,invoice,ORD-2027-483237,PROD-738291,Quorvex 2TB NVMe SSD M.2,36,pcs,112.5,EUR,4050.0,19.0,769.5,4819.5,issued,,S
IL-001,INV-2027-501256,2027-02-21,credit note,ORD-2027-340184,PROD-271045,Vantec USB-C Hub 9-port,87,pcs,34.5,EUR,-3001.5,0.0,-0.0,-3001.5,issued,INV-2027-632169,AE
IL-002,INV-2027-235711,2027-03-05,invoice,ORD-2027-445827,PROD-483921,Zoltrix 4K Display Module 27in,54,pcs,189.99,EUR,10259.46,19.0,1949.3,12208.76,issued,,S
IL-001,INV-2027-161654,2027-02-04,invoice,ORD-2027-519359,PROD-461829,Plonex Webcam 1080p Pro,91,pcs,44.0,EUR,4004.0,19.0,760.76,4764.76,issued,,S
IL-002,INV-2027-823003,2027-02-15,invoice,ORD-2027-131033,PROD-271045,Vantec USB-C Hub 9-port,64,pcs,34.5,EUR,2208.0,0.0,0.0,2208.0,issued,,AE
IL-001,INV-2027-769371,2027-02-22,invoice,ORD-2027-684015,PROD-847263,Nexboard Mechanical Keyboard TKL,13,pcs,67.0,EUR,871.0,19.0,165.49,1036.49,issued,,S
IL-001,INV-2027-910557,2027-03-28,invoice,ORD-2027-361984,PROD-847263,Nexboard Mechanical Keyboard TKL,3,pcs,67.0,EUR,201.0,19.0,38.19,239.19,issued,,S
IL-002,INV-2027-121432,2027-02-17,invoice,ORD-2027-966069,PROD-583047,Veltric UPS 600VA Tower,4,pcs,78.6,EUR,314.4,19.0,59.74,374.14,issued,,S
IL-002,INV-2027-996435,2027-03-24,invoice,ORD-2027-881543,PROD-583047,Veltric UPS 600VA Tower,47,pcs,78.6,EUR,3694.2,19.0,701.9,4396.1,cancelled,,S
IL-002,INV-2027-788015,2027-03-06,invoice,ORD-2027-874942,PROD-738291,Quorvex 2TB NVMe SSD M.2,63,pcs,112.5,EUR,7087.5,0.0,0.0,7087.5,issued,,AE
IL-001,INV-2027-117380,2027-02-11,invoice,ORD-2026-620917,PROD-271045,Vantec USB-C Hub 9-port,7,pcs,34.5,EUR,241.5,0.0,0.0,241.5,issued,,AE
IL-002,INV-2027-427340,2027-02-25,invoice,ORD-2027-778397,PROD-639182,Blipcore Wireless Adapter AC1200,97,pcs,22.8,EUR,2211.6,0.0,0.0,2211.6,issued,,AE
IL-001,INV-2027-655958,2027-03-29,credit note,ORD-2027-429920,PROD-461829,Plonex Webcam 1080p Pro,71,pcs,44.0,EUR,-3124.0,0.0,-0.0,-3124.0,issued,INV-2027-262839,AE
IL-001,INV-2027-520792,2027-03-17,invoice,ORD-2027-599775,PROD-847263,Nexboard Mechanical Keyboard TKL,19,pcs,67.0,EUR,1273.0,19.0,241.87,1514.87,issued,,S
IL-003,INV-2027-227155,2027-02-18,invoice,ORD-2027-483237,PROD-483921,Zoltrix 4K Display Module 27in,16,pcs,189.99,EUR,3039.84,19.0,577.57,3617.41,issued,,S
IL-001,INV-2027-697176,2027-02-08,invoice,ORD-2027-259085,PROD-564738,Fomex Cat8 Patch Cable 3m,5,m,8.9,EUR,44.5,19.0,8.46,52.96,issued,,S
IL-001,INV-2027-427340,2027-02-25,invoice,ORD-2027-778397,PROD-847263,Nexboard Mechanical Keyboard TKL,11,pcs,67.0,EUR,737.0,0.0,0.0,737.0,issued,,AE
IL-002,INV-2027-386888,2027-02-06,invoice,ORD-2027-705043,PROD-847263,Nexboard Mechanical Keyboard TKL,23,pcs,67.0,EUR,1541.0,0.0,0.0,1541.0,issued,,AE
IL-001,INV-2027-892134,2027-02-01,invoice,ORD-2026-865441,PROD-271045,Vantec USB-C Hub 9-port,75,pcs,34.5,EUR,2587.5,19.0,491.62,3079.12,issued,,S
IL-001,INV-2027-262839,2027-03-29,invoice,ORD-2027-429920,PROD-461829,Plonex Webcam 1080p Pro,71,pcs,44.0,EUR,3124.0,0.0,0.0,3124.0,cancelled,,AE
IL-002,INV-2027-990042,2027-02-14,invoice,ORD-2026-543670,PROD-583047,Veltric UPS 600VA Tower,78,pcs,78.6,EUR,6130.8,19.0,1164.85,7295.65,issued,,S
IL-001,INV-2027-874894,2027-02-08,invoice,ORD-2026-529027,PROD-583047,Veltric UPS 600VA Tower,38,pcs,78.6,EUR,2986.8,19.0,567.49,3554.29,issued,,S
IL-001,INV-2027-632169,2027-02-21,invoice,ORD-2027-340184,PROD-271045,Vantec USB-C Hub 9-port,87,pcs,34.5,EUR,3001.5,0.0,0.0,3001.5,cancelled,,AE
IL-001,INV-2027-773116,2027-02-03,invoice,ORD-2026-990340,PROD-483921,Zoltrix 4K Display Module 27in,62,pcs,189.99,EUR,11779.38,19.0,2238.08,14017.46,issued,,S
IL-001,INV-2027-421364,2027-03-10,invoice,ORD-2027-116776,PROD-583047,Veltric UPS 600VA Tower,34,pcs,78.6,EUR,2672.4,0.0,0.0,2672.4,issued,,AE
IL-001,INV-2027-742062,2027-03-24,credit note,ORD-2027-881543,PROD-738291,Quorvex 2TB NVMe SSD M.2,43,pcs,112.5,EUR,-4837.5,19.0,-919.12,-5756.62,issued,INV-2027-996435,S
IL-002,INV-2027-202899,2027-03-16,invoice,ORD-2027-607214,PROD-639182,Blipcore Wireless Adapter AC1200,96,pcs,22.8,EUR,2188.8,19.0,415.87,2604.67,issued,,S
IL-003,INV-2027-421364,2027-03-10,invoice,ORD-2027-116776,PROD-483921,Zoltrix 4K Display Module 27in,62,pcs,189.99,EUR,11779.38,0.0,0.0,11779.38,issued,,AE
IL-001,INV-2027-600366,2027-02-07,invoice,ORD-2027-956035,PROD-271045,Vantec USB-C Hub 9-port,23,pcs,34.5,EUR,793.5,0.0,0.0,793.5,issued,,AE
IL-001,INV-2027-274152,2027-03-26,invoice,ORD-2027-376129,PROD-483921,Zoltrix 4K Display Module 27in,71,pcs,189.99,EUR,13489.29,19.0,2562.97,16052.26,issued,,S
IL-002,INV-2027-226551,2027-03-09,invoice,ORD-2027-152306,PROD-029384,Trimbit Docking Station 12-in-1,25,pcs,89.9,EUR,2247.5,0.0,0.0,2247.5,cancelled,,AE
IL-003,INV-2027-642637,2027-03-10,invoice,ORD-2027-850022,PROD-029384,Trimbit Docking Station 12-in-1,13,pcs,89.9,EUR,1168.7,0.0,0.0,1168.7,issued,,AE
IL-002,INV-2027-154529,2027-03-17,invoice,ORD-2027-126344,PROD-271045,Vantec USB-C Hub 9-port,11,pcs,34.5,EUR,379.5,19.0,72.11,451.61,issued,,S
IL-001,INV-2027-202899,2027-03-16,invoice,ORD-2027-607214,PROD-192837,Droxel 65W GaN Charger,66,pcs,28.4,EUR,1874.4,19.0,356.14,2230.54,issued,,S
IL-001,INV-2027-615193,2027-03-30,invoice,ORD-2027-419673,PROD-639182,Blipcore Wireless Adapter AC1200,29,pcs,22.8,EUR,661.2,0.0,0.0,661.2,issued,,AE
IL-002,INV-2027-655958,2027-03-29,credit note,ORD-2027-429920,PROD-192837,Droxel 65W GaN Charger,14,pcs,28.4,EUR,-397.6,0.0,-0.0,-397.6,issued,INV-2027-262839,AE
IL-001,INV-2027-594168,2027-02-07,invoice,ORD-2026-447001,PROD-564738,Fomex Cat8 Patch Cable 3m,87,m,8.9,EUR,774.3,0.0,0.0,774.3,issued,,AE
IL-002,INV-2027-874894,2027-02-08,invoice,ORD-2026-529027,PROD-564738,Fomex Cat8 Patch Cable 3m,73,m,8.9,EUR,649.7,19.0,123.44,773.14,issued,,S
IL-001,INV-2027-121432,2027-02-17,invoice,ORD-2027-966069,PROD-738291,Quorvex 2TB NVMe SSD M.2,6,pcs,112.5,EUR,675.0,19.0,128.25,803.25,issued,,S
IL-002,INV-2027-465160,2027-02-10,invoice,ORD-2026-146236,PROD-564738,Fomex Cat8 Patch Cable 3m,39,m,8.9,EUR,347.1,0.0,0.0,347.1,issued,,AE
IL-003,INV-2027-990042,2027-02-14,invoice,ORD-2026-543670,PROD-029384,Trimbit Docking Station 12-in-1,82,pcs,89.9,EUR,7371.8,19.0,1400.64,8772.44,issued,,S
IL-001,INV-2027-215800,2027-02-17,invoice,ORD-2027-346967,PROD-847263,Nexboard Mechanical Keyboard TKL,70,pcs,67.0,EUR,4690.0,0.0,0.0,4690.0,issued,,AE
IL-001,INV-2027-198113,2027-02-06,invoice,ORD-2026-483219,PROD-271045,Vantec USB-C Hub 9-port,45,pcs,34.5,EUR,1552.5,0.0,0.0,1552.5,issued,,AE
IL-003,INV-2027-823003,2027-02-15,invoice,ORD-2027-131033,PROD-564738,Fomex Cat8 Patch Cable 3m,53,m,8.9,EUR,471.7,0.0,0.0,471.7,issued,,AE
IL-002,INV-2027-421364,2027-03-10,invoice,ORD-2027-116776,PROD-461829,Plonex Webcam 1080p Pro,55,pcs,44.0,EUR,2420.0,0.0,0.0,2420.0,issued,,AE
IL-001,INV-2027-227155,2027-02-18,invoice,ORD-2027-483237,PROD-271045,Vantec USB-C Hub 9-port,24,pcs,34.5,EUR,828.0,19.0,157.32,985.32,issued,,S
IL-002,INV-2027-632169,2027-02-21,invoice,ORD-2027-340184,PROD-847263,Nexboard Mechanical Keyboard TKL,99,pcs,67.0,EUR,6633.0,0.0,0.0,6633.0,cancelled,,AE
IL-002,INV-2027-507883,2027-03-18,invoice,ORD-2027-729651,PROD-029384,Trimbit Docking Station 12-in-1,73,pcs,89.9,EUR,6562.7,19.0,1246.91,7809.61,issued,,S
IL-003,INV-2027-600366,2027-02-07,invoice,ORD-2027-956035,PROD-639182,Blipcore Wireless Adapter AC1200,21,pcs,22.8,EUR,478.8,0.0,0.0,478.8,issued,,AE
IL-002,INV-2027-773116,2027-02-03,invoice,ORD-2026-990340,PROD-639182,Blipcore Wireless Adapter AC1200,8,pcs,22.8,EUR,182.4,19.0,34.66,217.06,issued,,S
IL-002,INV-2027-613043,2027-02-24,invoice,ORD-2026-339139,PROD-639182,Blipcore Wireless Adapter AC1200,16,pcs,22.8,EUR,364.8,0.0,0.0,364.8,issued,,AE
IL-003,INV-2027-501256,2027-02-21,credit note,ORD-2027-340184,PROD-483921,Zoltrix 4K Display Module 27in,71,pcs,189.99,EUR,-13489.29,0.0,-0.0,-13489.29,issued,INV-2027-632169,AE
IL-001,INV-2027-109898,2027-03-09,credit note,ORD-2027-152306,PROD-738291,Quorvex 2TB NVMe SSD M.2,83,pcs,112.5,EUR,-9337.5,0.0,-0.0,-9337.5,issued,INV-2027-226551,AE
IL-001,INV-2027-347561,2027-02-16,invoice,ORD-2027-911031,PROD-738291,Quorvex 2TB NVMe SSD M.2,84,pcs,112.5,EUR,9450.0,19.0,1795.5,11245.5,issued,,S
IL-001,INV-2027-996435,2027-03-24,invoice,ORD-2027-881543,PROD-738291,Quorvex 2TB NVMe SSD M.2,43,pcs,112.5,EUR,4837.5,19.0,919.12,5756.62,cancelled,,S
IL-002,INV-2027-823916,2027-03-09,invoice,ORD-2026-882286,PROD-192837,Droxel 65W GaN Charger,22,pcs,28.4,EUR,624.8,0.0,0.0,624.8,issued,,AE
IL-002,INV-2027-748327,2027-03-20,invoice,ORD-2027-315951,PROD-029384,Trimbit Docking Station 12-in-1,74,pcs,89.9,EUR,6652.6,19.0,1263.99,7916.59,issued,,S
IL-001,INV-2027-117712,2027-03-30,invoice,ORD-2027-938226,PROD-192837,Droxel 65W GaN Charger,59,pcs,28.4,EUR,1675.6,0.0,0.0,1675.6,issued,,AE
IL-002,INV-2027-697176,2027-02-08,invoice,ORD-2027-259085,PROD-847263,Nexboard Mechanical Keyboard TKL,16,pcs,67.0,EUR,1072.0,19.0,203.68,1275.68,issued,,S
IL-001,INV-2027-823003,2027-02-15,invoice,ORD-2027-131033,PROD-738291,Quorvex 2TB NVMe SSD M.2,51,pcs,112.5,EUR,5737.5,0.0,0.0,5737.5,issued,,AE
IL-002,INV-2027-594168,2027-02-07,invoice,ORD-2026-447001,PROD-461829,Plonex Webcam 1080p Pro,38,pcs,44.0,EUR,1672.0,0.0,0.0,1672.0,issued,,AE
IL-002,INV-2027-267919,2027-03-09,invoice,ORD-2027-449701,PROD-738291,Quorvex 2TB NVMe SSD M.2,46,pcs,112.5,EUR,5175.0,0.0,0.0,5175.0,issued,,AE
IL-001,INV-2027-853202,2027-02-18,invoice,ORD-2027-943881,PROD-847263,Nexboard Mechanical Keyboard TKL,23,pcs,67.0,EUR,1541.0,0.0,0.0,1541.0,issued,,AE
IL-001,INV-2027-748327,2027-03-20,invoice,ORD-2027-315951,PROD-461829,Plonex Webcam 1080p Pro,53,pcs,44.0,EUR,2332.0,19.0,443.08,2775.08,issued,,S
IL-001,INV-2027-595175,2027-03-13,invoice,ORD-2027-610481,PROD-583047,Veltric UPS 600VA Tower,72,pcs,78.6,EUR,5659.2,0.0,0.0,5659.2,issued,,AE
IL-002,INV-2027-274152,2027-03-26,invoice,ORD-2027-376129,PROD-029384,Trimbit Docking Station 12-in-1,38,pcs,89.9,EUR,3416.2,19.0,649.08,4065.28,issued,,S
IL-003,INV-2027-154529,2027-03-17,invoice,ORD-2027-126344,PROD-564738,Fomex Cat8 Patch Cable 3m,80,m,8.9,EUR,712.0,19.0,135.28,847.28,issued,,S
IL-003,INV-2027-198113,2027-02-06,invoice,ORD-2026-483219,PROD-192837,Droxel 65W GaN Charger,62,pcs,28.4,EUR,1760.8,0.0,0.0,1760.8,issued,,AE
IL-001,INV-2027-823916,2027-03-09,invoice,ORD-2026-882286,PROD-583047,Veltric UPS 600VA Tower,100,pcs,78.6,EUR,7860.0,0.0,0.0,7860.0,issued,,AE
IL-002,INV-2027-109898,2027-03-09,credit note,ORD-2027-152306,PROD-029384,Trimbit Docking Station 12-in-1,25,pcs,89.9,EUR,-2247.5,0.0,-0.0,-2247.5,issued,INV-2027-226551,AE
IL-001,INV-2027-482832,2027-03-25,invoice,ORD-2027-278275,PROD-029384,Trimbit Docking Station 12-in-1,39,pcs,89.9,EUR,3506.1,0.0,0.0,3506.1,issued,,AE
IL-002,INV-2027-281766,2027-02-07,invoice,ORD-2026-131279,PROD-271045,Vantec USB-C Hub 9-port,96,pcs,34.5,EUR,3312.0,0.0,0.0,3312.0,issued,,AE
IL-003,INV-2027-773116,2027-02-03,invoice,ORD-2026-990340,PROD-847263,Nexboard Mechanical Keyboard TKL,34,pcs,67.0,EUR,2278.0,19.0,432.82,2710.82,issued,,S
IL-002,INV-2027-117380,2027-02-11,invoice,ORD-2026-620917,PROD-029384,Trimbit Docking Station 12-in-1,13,pcs,89.9,EUR,1168.7,0.0,0.0,1168.7,issued,,AE
IL-002,INV-2027-262839,2027-03-29,invoice,ORD-2027-429920,PROD-192837,Droxel 65W GaN Charger,14,pcs,28.4,EUR,397.6,0.0,0.0,397.6,cancelled,,AE
IL-001,INV-2027-235711,2027-03-05,invoice,ORD-2027-445827,PROD-271045,Vantec USB-C Hub 9-port,26,pcs,34.5,EUR,897.0,19.0,170.43,1067.43,issued,,S
IL-002,INV-2027-853202,2027-02-18,invoice,ORD-2027-943881,PROD-738291,Quorvex 2TB NVMe SSD M.2,63,pcs,112.5,EUR,7087.5,0.0,0.0,7087.5,issued,,AE
IL-001,INV-2027-642637,2027-03-10,invoice,ORD-2027-850022,PROD-192837,Droxel 65W GaN Charger,86,pcs,28.4,EUR,2442.4,0.0,0.0,2442.4,issued,,AE
IL-003,INV-2027-267919,2027-03-09,invoice,ORD-2027-449701,PROD-461829,Plonex Webcam 1080p Pro,36,pcs,44.0,EUR,1584.0,0.0,0.0,1584.0,issued,,AE
IL-001,INV-2027-990042,2027-02-14,invoice,ORD-2026-543670,PROD-192837,Droxel 65W GaN Charger,48,pcs,28.4,EUR,1363.2,19.0,259.01,1622.21,issued,,S
IL-001,INV-2027-140410,2027-03-05,invoice,ORD-2027-901318,PROD-639182,Blipcore Wireless Adapter AC1200,42,pcs,22.8,EUR,957.6,0.0,0.0,957.6,issued,,AE
IL-001,INV-2027-226551,2027-03-09,invoice,ORD-2027-152306,PROD-738291,Quorvex 2TB NVMe SSD M.2,83,pcs,112.5,EUR,9337.5,0.0,0.0,9337.5,cancelled,,AE
